id_circuns,id_diputado,diputado_partido,x,y,r,theta,long.ajuste,lat.ajuste,long,lat
circuns_3,circuns_3_20,MC,-94.889164,17.304981,0.385816865,180,-0.385816865,4.73E-17,-95.27498086,17.304981
circuns_3,circuns_3_21,MC,-94.889164,17.304981,0.964542161,189,-0.952667047,-0.150887637,-95.84183105,17.15409336
circuns_3,circuns_3_22,MC,-94.889164,17.304981,0.771633729,198,-0.733867286,-0.238447936,-95.62303129,17.06653306
circuns_3,circuns_3_23,MC,-94.889164,17.304981,0.578725297,207,-0.515648015,-0.262735787,-95.40481202,17.04224521
circuns_3,circuns_3_24,MORENA,-94.889164,17.304981,0.385816865,216,-0.3121324,-0.226777463,-95.2012964,17.07820354
circuns_3,circuns_3_25,MORENA,-94.889164,17.304981,0.964542161,225,-0.682034303,-0.682034303,-95.5711983,16.6229467
circuns_3,circuns_3_26,MORENA,-94.889164,17.304981,0.771633729,234,-0.453554926,-0.6242648,-95.34271893,16.6807162
circuns_3,circuns_3_27,MORENA,-94.889164,17.304981,0.578725297,243,-0.262735787,-0.515648015,-95.15189979,16.78933298
circuns_3,circuns_3_28,MORENA,-94.889164,17.304981,0.385816865,252,-0.119223968,-0.366933643,-95.00838797,16.93804736
circuns_3,circuns_3_29,MORENA,-94.889164,17.304981,0.964542161,261,-0.150887637,-0.952667047,-95.04005164,16.35231395
circuns_3,circuns_3_30,MORENA,-94.889164,17.304981,0.771633729,270,-1.42E-16,-0.771633729,-94.889164,16.53334727
circuns_3,circuns_3_31,MORENA,-94.889164,17.304981,0.578725297,279,0.090532582,-0.571600228,-94.79863142,16.73338077
circuns_3,circuns_3_32,MORENA,-94.889164,17.304981,0.385816865,288,0.119223968,-0.366933643,-94.76994003,16.93804736
circuns_3,circuns_3_33,MORENA,-94.889164,17.304981,0.964542161,297,0.437892978,-0.859413359,-94.45127102,16.44556764
circuns_3,circuns_3_34,MORENA,-94.889164,17.304981,0.771633729,306,0.453554926,-0.6242648,-94.43560907,16.6807162
circuns_3,circuns_3_35,MORENA,-94.889164,17.304981,0.578725297,315,0.409220582,-0.409220582,-94.47994342,16.89576042
circuns_3,circuns_3_36,MORENA,-94.889164,17.304981,0.385816865,324,0.3121324,-0.226777463,-94.5770316,17.07820354
circuns_3,circuns_3_37,MORENA,-94.889164,17.304981,0.964542161,333,0.859413359,-0.437892978,-94.02975064,16.86708802
circuns_3,circuns_3_38,MORENA,-94.889164,17.304981,0.771633729,342,0.733867286,-0.238447936,-94.15529671,17.06653306
circuns_3,circuns_3_39,MORENA,-94.889164,17.304981,0.578725297,351,0.571600228,-0.090532582,-94.31756377,17.21444842
circuns_3,circuns_3_40,MORENA,-94.889164,17.304981,0.385816865,360,0.385816865,-9.45E-17,-94.50334714,17.304981
circuns_4,circuns_4_1,PAN,-98.571403,18.209448,1.002392412,9,0.990051299,0.156808721,-97.5813517,18.36625672
circuns_4,circuns_4_2,PAN,-98.571403,18.209448,0.80191393,18,0.762665469,0.247805032,-97.80873753,18.45725303
circuns_4,circuns_4_3,PAN,-98.571403,18.209448,0.601435447,27,0.535882908,0.273045979,-98.03552009,18.48249398
circuns_4,circuns_4_4,PAN,-98.571403,18.209448,0.400956965,36,0.324380999,0.235676591,-98.247022,18.44512459
circuns_4,circuns_4_5,PAN,-98.571403,18.209448,1.002392412,45,0.708798472,0.708798472,-97.86260453,18.91824647
circuns_4,circuns_4_6,PAN,-98.571403,18.209448,0.80191393,54,0.471353182,0.648761997,-98.10004982,18.85821
circuns_4,circuns_4_7,PAN,-98.571403,18.209448,0.601435447,63,0.273045979,0.535882908,-98.29835702,18.74533091
circuns_4,circuns_4_8,PAN,-98.571403,18.209448,0.400956965,72,0.123902516,0.381332734,-98.44750048,18.59078073
circuns_4,circuns_4_9,PRI,-98.571403,18.209448,1.002392412,81,0.156808721,0.990051299,-98.41459428,19.1994993
circuns_4,circuns_4_10,PRI,-98.571403,18.209448,0.80191393,90,4.91E-17,0.80191393,-98.571403,19.01136193
circuns_4,circuns_4_11,PRI,-98.571403,18.209448,0.601435447,99,-0.094085232,0.594030779,-98.66548823,18.80347878
circuns_4,circuns_4_12,PRI,-98.571403,18.209448,0.400956965,108,-0.123902516,0.381332734,-98.69530552,18.59078073
circuns_4,circuns_4_13,PT,-98.571403,18.209448,1.002392412,117,-0.455076632,0.893138179,-99.02647963,19.10258618
circuns_4,circuns_4_14,PT,-98.571403,18.209448,0.80191393,126,-0.471353182,0.648761997,-99.04275618,18.85821
circuns_4,circuns_4_15,PVEM,-98.571403,18.209448,0.601435447,135,-0.425279083,0.425279083,-98.99668208,18.63472708
circuns_4,circuns_4_16,PVEM,-98.571403,18.209448,0.400956965,144,-0.324380999,0.235676591,-98.895784,18.44512459
