id_estado,id_distrito,id_circuns,diputado_partido,x,y,r,theta,long.ajuste,lat.ajuste,long,lat
15,5,5,PT,-103.274173,16.924071,0.209303406,45,0.147999858,0.147999858,-103.1261731,17.07207086
15,6,5,MORENA,-103.274173,16.924071,0.946517032,54,0.556348753,0.765748365,-102.7178242,17.68981936
15,7,5,MORENA,-103.274173,16.924071,0.837213626,63,0.380087032,0.745962803,-102.894086,17.6700338
15,8,,MORENA,-103.274173,16.924071,0.627910219,72,0.194034929,0.597178106,-103.0801381,17.52124911
15,9,5,MORENA,-103.274173,16.924071,0.418606813,81,0.065484533,0.413453068,-103.2086885,17.33752407
15,10,5,MORENA,-103.274173,16.924071,0.209303406,90,1.28E-17,0.209303406,-103.274173,17.13337441
15,11,5,MORENA,-103.274173,16.924071,0.946517032,99,-0.148067886,0.934863837,-103.4222409,17.85893484
15,12,5,MORENA,-103.274173,16.924071,0.837213626,108,-0.258713238,0.796237474,-103.5328862,17.72030847
15,13,5,MORENA,-103.274173,16.924071,0.627910219,117,-0.285065274,0.559472102,-103.5592383,17.4835431
15,14,5,MORENA,-103.274173,16.924071,0.418606813,126,-0.246050911,0.338660026,-103.5202239,17.26273103
15,15,5,MORENA,-103.274173,16.924071,0.209303406,135,-0.147999858,0.147999858,-103.4221729,17.07207086
15,16,5,PT,-103.274173,16.924071,0.946517032,144,-0.765748365,0.556348753,-104.0399214,17.48041975
15,17,5,MORENA,-103.274173,16.924071,0.837213626,153,-0.745962803,0.380087032,-104.0201358,17.30415803
15,18,5,PVEM,-103.274173,16.924071,0.627910219,162,-0.597178106,0.194034929,-103.8713511,17.11810593
15,19,5,MORENA,-103.274173,16.924071,0.418606813,171,-0.413453068,0.065484533,-103.6876261,16.98955553
15,20,5,MORENA,-103.274173,16.924071,0.209303406,180,-0.209303406,2.56E-17,-103.4834764,16.924071
15,21,5,MORENA,-103.274173,16.924071,0.946517032,189,-0.934863837,-0.148067886,-104.2090368,16.77600311
15,22,5,PAN,-103.274173,16.924071,0.837213626,198,-0.796237474,-0.258713238,-104.0704105,16.66535776
15,23,5,PVEM,-103.274173,16.924071,0.627910219,207,-0.559472102,-0.285065274,-103.8336451,16.63900573
15,24,5,PVEM,-103.274173,16.924071,0.418606813,216,-0.338660026,-0.246050911,-103.612833,16.67802009
15,25,5,MORENA,-103.274173,16.924071,0.209303406,225,-0.147999858,-0.147999858,-103.4221729,16.77607114
15,26,5,PVEM,-103.274173,16.924071,0.946517032,234,-0.556348753,-0.765748365,-103.8305218,16.15832264
15,27,5,PT,-103.274173,16.924071,0.837213626,243,-0.380087032,-0.745962803,-103.65426,16.1781082
15,28,5,MORENA,-103.274173,16.924071,0.627910219,252,-0.194034929,-0.597178106,-103.4682079,16.32689289
15,29,5,MORENA,-103.274173,16.924071,0.418606813,261,-0.065484533,-0.413453068,-103.3396575,16.51061793
15,30,5,MORENA,-103.274173,16.924071,0.209303406,270,-3.85E-17,-0.209303406,-103.274173,16.71476759
15,31,5,MORENA,-103.274173,16.924071,0.946517032,279,0.148067886,-0.934863837,-103.1261051,15.98920716
15,32,5,PT,-103.274173,16.924071,0.837213626,288,0.258713238,-0.796237474,-103.0154598,16.12783353
15,33,5,MORENA,-103.274173,16.924071,0.627910219,297,0.285065274,-0.559472102,-102.9891077,16.3645989
15,34,5,MORENA,-103.274173,16.924071,0.418606813,306,0.246050911,-0.338660026,-103.0281221,16.58541097
15,35,5,MORENA,-103.274173,16.924071,0.209303406,315,0.147999858,-0.147999858,-103.1261731,16.77607114
15,36,5,MORENA,-103.274173,16.924071,0.946517032,324,0.765748365,-0.556348753,-102.5084246,16.36772225
15,37,5,MORENA,-103.274173,16.924071,0.837213626,333,0.745962803,-0.380087032,-102.5282102,16.54398397
15,38,5,PVEM,-103.274173,16.924071,0.627910219,342,0.597178106,-0.194034929,-102.6769949,16.73003607
15,39,5,PT,-103.274173,16.924071,0.418606813,351,0.413453068,-0.065484533,-102.8607199,16.85858647
15,40,5,PVEM,-103.274173,16.924071,0.209303406,360,0.209303406,-5.13E-17,-103.0648696,16.924071
16,1,5,MORENA,-101.8781133,19.20709608,0.622037178,32.72727273,0.523290973,0.336298688,-101.3548223,19.54339477
16,2,5,MORENA,-101.8781133,19.20709608,0.414691452,65.45454545,0.172269055,0.377216613,-101.7058442,19.58431269
16,3,5,PT,-101.8781133,19.20709608,0.207345726,98.18181818,-0.029508373,0.205235245,-101.9076217,19.41233133
16,4,5,MORENA,-101.8781133,19.20709608,0.622037178,130.9090909,-0.407347723,0.470104332,-102.285461,19.67720041
16,5,5,MORENA,-101.8781133,19.20709608,0.414691452,163.6363636,-0.397893534,0.116832083,-102.2760068,19.32392816
16,6,5,PT,-101.8781133,19.20709608,0.207345726,196.3636364,-0.198946767,-0.058416042,-102.0770601,19.14868004
16,7,5,MORENA,-101.8781133,19.20709608,0.622037178,229.0909091,-0.407347723,-0.470104332,-102.285461,18.73699175
16,8,5,PVEM,-101.8781133,19.20709608,0.414691452,261.8181818,-0.059016747,-0.410470491,-101.93713,18.79662559
